Algorithm,Total Cost,Average Cost,Hitting Cost,Switching Cost,Cost Ratio,Avg Action Δ,Peak Action Δ
R-OBD,0.23000638089305533,0.009583599203877306,0.028049558645494573,0.2019568222475608,0.13888888888888898,0.11168213499768963,0.26854322104727535
ML Predictor,0.30192150780596105,0.012580062825248378,0.1784031489493497,0.12351835885661139,1.4443452018047969,0.0870309668490638,0.23685107105126413
Expert-Calibrated,0.24163194904590346,0.010067997876912644,0.08184537736546912,0.15978657168043428,0.5122168684434639,0.09926583185267561,0.25269714604926974
Adaptive Hybrid,0.23647848613170977,0.009853270255487908,0.072128793890608,0.1643496922411018,0.43887392125319413,0.10078356879868011,0.25269714604926974
